"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XAN","Exantas Capital Corp.","2.49","$79.86M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/xan",
"XAN^C","Exantas Capital Corp.","15.255","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/xan^c",
"EXPR","Express, Inc.","1.13","$72.84M","2010","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/expr",
"EXTN","Exterran Corporation","5.12","$169.7M","2015","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/extn",
"EXR","Extra Space Storage Inc","106.06","$13.69B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/exr",
"XOM","Exxon Mobil Corporation","40.88","$172.85B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/xom",
"FNB","F.N.B. Corporation","7.64","$2.47B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","28.32","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fnb^e",
"FN","Fabrinet","71.34","$2.62B","2010","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/fn",
"FDS","FactSet Research Systems Inc.","356","$13.53B","1996","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/fds",
"FICO","Fair Isaac Corporation","423.42","$12.28B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/fico",
"SFUN","Fang Holdings Limited","13.105","$117.6M","2010","Technology","EDP Services","https://old.nasdaq.com/symbol/sfun",
"FPAC","Far Point Acquisition Corporation","12","$948.75M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/fpac",
"FPAC.U","Far Point Acquisition Corporation","n/a","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/fpac.u",
"FPAC.WS","Far Point Acquisition Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fpac.ws",
"FTCH","Farfetch Limited","27.89","$9.48B","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ftch",
"FPI","Farmland Partners Inc.","6.79","$200.96M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/fpi",
"FPI^B","Farmland Partners Inc.","24.355","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fpi^b",
"FST.U","FAST Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/fst.u",
"FSLY","Fastly, Inc.","90.38","$9.51B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/fsly",
"FBK","FB Financial Corporation","26.92","$1.25B","2016","Finance","Major Banks","https://old.nasdaq.com/symbol/fbk",
"FFG","FBL Financial Group, Inc.","38.17","$930.72M","1996","Finance","Life Insurance","https://old.nasdaq.com/symbol/ffg",
"AGM","Federal Agricultural Mortgage Corporation","68.9","$739.49M","n/a","Finance","Finance Companies","https://old.nasdaq.com/symbol/agm",
"AGM.A","Federal Agricultural Mortgage Corporation","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm.a",
"AGM^A","Federal Agricultural Mortgage Corporation","25.23","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^a",
"AGM^C","Federal Agricultural Mortgage Corporation","27.05","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^c",
"AGM^D","Federal Agricultural Mortgage Corporation","26.76","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^d",
"AGM^E","Federal Agricultural Mortgage Corporation","26.99","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^e",
"FRT","Federal Realty Investment Trust","81.76","$6.18B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/frt",
"FRT^C","Federal Realty Investment Trust","26.2101","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frt^c",
"FSS","Federal Signal Corporation","32.34","$1.95B","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/fss",
"FMN","Federated Hermes Premier Municipal Income Fund","14.36","$165.13M","2002","n/a","n/a","https://old.nasdaq.com/symbol/fmn",
"FHI","Federated Hermes, Inc.","24.87","$2.49B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/fhi",
"FDX","FedEx Corporation","214.31","$56.15B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/fdx",
"RACE","Ferrari N.V.","197.31","$48.95B","2015","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/race",
"FOE","Ferro Corporation","12.89","$1.06B","n/a","Basic Industries","Paints/Coatings","https://old.nasdaq.com/symbol/foe",
"FCAU","Fiat Chrysler Automobiles N.V.","11.22","$22.71B","2014","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/fcau",
"FNF","Fidelity National Financial, Inc.","33.1","$9.66B","2014","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/fnf",
"FIS","Fidelity National Information Services, Inc.","145.37","$90.07B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/fis",
"FMO","Fiduciary/Claymore Energy Infrastructure Fund","8.63","$61.17M","2004","n/a","n/a","https://old.nasdaq.com/symbol/fmo",
"FINV","FinVolution Group","2.4","$733.79M","2017","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/finv",
"FAF","First American Corporation (The)","52.16","$5.82B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/faf",
"FBP","First BanCorp.","5.88","$1.28B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fbp",
"FCF","First Commonwealth Financial Corporation","8.43","$827.26M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcf",
"FCRW","First Eagle Alternative Capital BDC, Inc.","24.44","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/fcrw",
"FCRZ","First Eagle Alternative Capital BDC, Inc.","25.14","n/a","2015","n/a","n/a","https://old.nasdaq.com/symbol/fcrz",
"FSLF","First Eagle Senior Loan Fund","12.2966","$91.23M","2013","n/a","n/a","https://old.nasdaq.com/symbol/fslf",
"FHN","First Horizon National Corporation","9.66","$5.36B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fhn",
"FHN^A","First Horizon National Corporation","26.2599","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^a",
"FHN^B","First Horizon National Corporation","25.5601","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^b",
"FHN^C","First Horizon National Corporation","26.13","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^c",
"FHN^D","First Horizon National Corporation","25.17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^d",
"FHN^E","First Horizon National Corporation","26.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^e",
"FR","First Industrial Realty Trust, Inc.","43.28","$5.51B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/fr",
"AG","First Majestic Silver Corp.","11.33","$2.43B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ag",
"FRC","FIRST REPUBLIC BANK","115.67","$19.91B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frc",
"FRC^F","FIRST REPUBLIC BANK","25.69","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frc^f",
"FRC^G","FIRST REPUBLIC BANK","25.9","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frc^g",
"FRC^H","FIRST REPUBLIC BANK","26.425","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frc^h",
"FRC^I","FIRST REPUBLIC BANK","27.59","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frc^i",
"FRC^J","FIRST REPUBLIC BANK","26.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frc^j",
"FFA","First Trust","15.66","$312.93M","2004","n/a","n/a","https://old.nasdaq.com/symbol/ffa",
"FMY","First Trust","13.5","$56.88M","2005","n/a","n/a","https://old.nasdaq.com/symbol/fmy",
"FDEU","First Trust Dynamic Europe Equity Income Fund","10.79","$185.93M","2015","n/a","n/a","https://old.nasdaq.com/symbol/fdeu",
"FIF","First Trust Energy Infrastructure Fund","9.95","$174.62M","2011","n/a","n/a","https://old.nasdaq.com/symbol/fif",
"FSD","First Trust High Income Long Short Fund","14","$478.11M","2010","n/a","n/a","https://old.nasdaq.com/symbol/fsd",
"FTHY","First Trust High Yield Opportunities 2027 Term Fund","20.8","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/fthy",
"FPF","First Trust Intermediate Duration Preferred & Income Fund","22.31","$1.36B","2013","n/a","n/a","https://old.nasdaq.com/symbol/fpf",
"FEI           ","First Trust MLP and Energy Income Fund","5.27","$247.73M","2012","n/a","n/a","https://old.nasdaq.com/symbol/fei",
"FPL","First Trust New Opportunities MLP & Energy Fund","4.05","$104.15M","2014","n/a","n/a","https://old.nasdaq.com/symbol/fpl",
"FIV","First Trust Senior Floating Rate 2022 Target Term Fund","8.75","$313.53M","2016","n/a","n/a","https://old.nasdaq.com/symbol/fiv",
"FCT","First Trust Senior Floating Rate Income Fund II","11.15","$297.34M","2004","n/a","n/a","https://old.nasdaq.com/symbol/fct",
"FGB","First Trust Specialty Finance and Financial Opportunities Fund","2.82","$40.52M","2007","n/a","n/a","https://old.nasdaq.com/symbol/fgb",
"FEO","First Trust/Aberdeen Emerging Opportunity Fund","13.19","$66.7M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/feo",
"FAM","First Trust/Aberdeen Global Opportunity Income Fund","10.13","$128.57M","2006","n/a","n/a","https://old.nasdaq.com/symbol/fam",
